ZONE,Name,Pelagic Province,Area (km2),Rarity
1,New Zealand Sub-Antarctic Islands,Subantarctic,2337.802786,Common 20%
1,New Zealand Sub-Antarctic Islands,Subtropical Convergence,454.1195794,Common 20%
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,Equatorial Atlantic,1.148784835,Middle 20-80%
6,Cocos Island National Park,Eastern Tropical Pacific,1584.750058,Middle 20-80%
10,Gough and Inaccessible Islands,South Central Atlantic Gyre,1161.546908,Middle 20-80%
10,Gough and Inaccessible Islands,Subtropical Convergence,2037.35881,Common 20%
16,Phoenix Islands Protected Area,Equatorial Pacific,13296.33749,Middle 20-80%
16,Phoenix Islands Protected Area,South Central Pacific Gyre,393245.5212,Common 5%
19,Coiba National Park and its Special Zone of Marine Protection,Eastern Tropical Pacific,629.8902144,Middle 20-80%
20,Tubbataha Reefs Natural Park,Indonesian Through-Flow,438.1611899,Middle 20-80%
21,Rock Islands Southern Lagoon,North Central Pacific Gyre,1.283090355,Common 10%
23,Sanganeb Marine National Park and Dungonab Bay - Mukkawar Island Marine National Park,Red Sea,97.36088644,Rarest 5%
26,Papah_naumoku_kea,North Central Pacific Gyre,344402.2219,Common 10%
30,Malpelo Fauna and Flora Sanctuary,Eastern Tropical Pacific,9508.936558,Middle 20-80%
31,Gal‡pagos Islands,Eastern Tropical Pacific,122156.7872,Middle 20-80%
32,Komodo National Park,Indonesian Through-Flow,1.629023943,Middle 20-80%
36,Revillagigedo Archipelago,Eastern Tropical Pacific,5098.753731,Middle 20-80%
36,Revillagigedo Archipelago,North Central Pacific Gyre,123.629393,Common 10%
38,Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,Non-gyral Southwest Pacific,1271.803257,Middle 20-80%
39,Great Barrier Reef,Non-gyral Southwest Pacific,94219.84215,Middle 20-80%
40,Lord Howe Island Group,Non-gyral Southwest Pacific,355.4393915,Middle 20-80%
41,Macquarie Island,Antarctic Polar Front,2430.031543,Middle 20-80%
42,Ningaloo Coast,Leeuwin Current,152.7464636,Middle 20-80%
44,Heard and McDonald Islands,Antarctic Polar Front,2132.509961,Middle 20-80%