TENT_ID,Name,Marine Ecoregion,Area (km2),Rarity,Not Found in Existing mnWHA Sites
2,"Geological, Paleontological and Archaeological Provincial Reserve PehuŽn co Monte Hermoso",Uruguay-Buenos Aires Shelf,386.4778197,Common 20%,TRUE
5,Great Sandy World Heritage Area,Tweed-Moreton,6047.601969,Middle 20-80%,FALSE
27,RŽserve biologique d'Atol das Rocas (Rio Grande do Norte),Fernando de Naronha and Atoll das Rocas,138.1199227,Rarest 5%,FALSE
50,Gwaii Haanas,North American Pacific Fijordland,2807.388233,Middle 20-80%,TRUE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,North American Pacific Fijordland,1502.996941,Middle 20-80%,TRUE
55,Sirmilik National Park and Tallurutiup Imanga (proposed) National Marine Conservation Area,Baffin Bay - Davis Strait,16585.09399,Middle 20-80%,TRUE
55,Sirmilik National Park and Tallurutiup Imanga (proposed) National Marine Conservation Area,Lancaster Sound,31422.89528,Common 20%,TRUE
56,Juan Fern‡ndez Archipelago National Park,Juan FernÂ ndez and Desventuradas,36.15052539,Rarest 10%,TRUE
63,Seaflower Marine Protected Area (MPA),Southwestern Caribbean,6201.110298,Middle 20-80%,TRUE
65,Tayrona and Sierra Nevada de Santa Marta National Parks and thei r Archaeological Sites,Southwestern Caribbean,10.7810151,Middle 20-80%,TRUE
66,Le Parc National de Conkouati-Douli,Gulf of Guinea South,1200.901366,Middle 20-80%,TRUE
68,Corcovado National Park and Isla del Ca–o Biological Reserve,Nicoya,49.08987513,Middle 20-80%,FALSE
70,Kornati National Park and Tela__ica Nature Park,Adriatic Sea,182.0169286,Middle 20-80%,TRUE
73,CiŽnaga de Zapata National Park,Greater Antilles,1262.768559,Middle 20-80%,FALSE
74,Reef System in the Cuban Caribbean,Greater Antilles,2884.207712,Middle 20-80%,FALSE
85,Les ”les Moucha et MaskaliĘ,Gulf of Aden,33.8876361,Middle 20-80%,FALSE
88,Parque Nacional Jaragua,Greater Antilles,861.3701232,Middle 20-80%,FALSE
89,Santuario de Mam’feros Marinos Bancos de La Plata y Navidad,Bahamian,7671.688885,Middle 20-80%,TRUE
89,Santuario de Mam’feros Marinos Bancos de La Plata y Navidad,Greater Antilles,1928.762897,Middle 20-80%,FALSE
90,Parque Nacional Machalilla,Guayaquil,141.3282078,Middle 20-80%,TRUE
94,Ras Mohammed,Northern and Central Red Sea,553.2465683,Middle 20-80%,FALSE
101,Bouches de Bonifacio,Western Mediterranean,37.96391009,Middle 20-80%,FALSE
102,La Camargue,Western Mediterranean,1372.122243,Middle 20-80%,FALSE
103,La RŽserve naturelle nationale des Terres Australes FranŤaises,Amsterdam-St Paul,655.594792,Rarest 5%,TRUE
103,La RŽserve naturelle nationale des Terres Australes FranŤaises,Kerguelen Islands,4384.549607,Middle 20-80%,TRUE
103,La RŽserve naturelle nationale des Terres Australes FranŤaises,Crozet Islands,3332.093747,Rarest 20%,TRUE
104,Marais salants de GuŽrande,South European Atlantic Shelf,13.1630763,Middle 20-80%,TRUE
107,Parc national de Port Cros,Western Mediterranean,13.77103626,Middle 20-80%,FALSE
125,RŽserve de BiosphŹre de l'Archipel des Bijagos,Gulf of Guinea West,8314.493501,Middle 20-80%,TRUE
128,Brei_afjšr_ur Nature Reserve,South and West Iceland,2532.543166,Middle 20-80%,FALSE
141,Bunaken National Park,Sulawesi Sea/Makassar Strait,532.0377328,Common 20%,TRUE
142,Derawan Islands,Sulawesi Sea/Makassar Strait,83.16721981,Common 20%,TRUE
142,Derawan Islands,Palawan/North Borneo,2401.954269,Common 20%,FALSE
143,Raja Ampat Islands,Papua,509.7797397,Middle 20-80%,TRUE
144,Taka Bonerate National Park,Banda Sea,3449.877006,Middle 20-80%,TRUE
145,Wakatobi National Park,Banda Sea,4728.846107,Middle 20-80%,TRUE
149,Harra Protected Area,Arabian (Persian) Gulf,317.8795163,Common 20%,TRUE
158,Archipelago of La Maddalena and Islands of Bocche di Bonifacio,Western Mediterranean,115.766436,Middle 20-80%,FALSE
159,Island of Asinara,Western Mediterranean,44.0882291,Middle 20-80%,FALSE
161,Pelagos: The Cetacean Sanctuary,Western Mediterranean,28481.91905,Middle 20-80%,FALSE
173,Boubyan Island and Mubarak Al Kabeer Marine Reserve (MAKMR),Arabian (Persian) Gulf,111.1404483,Common 20%,TRUE
180,Mili Atoll Nature Conservancy (and Nadrikdrik),Marshall Islands,89.51768374,Middle 20-80%,TRUE
183,Los Petenes R’a Celestśn,Southern Gulf of Mexico,1958.907652,Common 20%,TRUE
184,RŽserve de la BiosphŹre Banco Chinchorro CN,Western Caribbean,1295.328567,Middle 20-80%,FALSE
190,Parc national de Dakhla,Saharan Upwelling,3681.980315,Middle 20-80%,FALSE
199,"Bonaire Marine
Park",Southern Caribbean,3.873935653,Middle 20-80%,TRUE
201,Kermadec Islands and Marine reserve,Kermadec Island,1663.704248,Rarest 10%,TRUE
203,"The Natural Reserve ""Miskitos Keys""",Southwestern Caribbean,4940.512696,Middle 20-80%,TRUE
211,Islands of Jan Mayen and Bouvet as parts of a serial transnational nomination of the Mid Atlantic Ridge system,North and East Iceland,1980.76009,Middle 20-80%,TRUE
212,Svalbard Archipelago,North and East Barents Sea,71465.74172,Common 5%,TRUE
213,The Lofoten islands,Northern Norway and Finnmark,8.8784036,Middle 20-80%,TRUE
214,al Dimaniyyat Islands Nature Reserve,Gulf of Oman,199.1335187,Middle 20-80%,TRUE
215,Ras al Had Turtle Reserve and the Heritage Site of Ras al Jinz,Gulf of Oman,22.60459926,Middle 20-80%,TRUE
215,Ras al Had Turtle Reserve and the Heritage Site of Ras al Jinz,Western Arabian Sea,23.39957693,Middle 20-80%,TRUE
226,Apo Reef Natural Park,Palawan/North Borneo,272.735726,Common 20%,FALSE
228,El NidoTaytay Managed Resource Protected Area,Palawan/North Borneo,472.1207319,Common 20%,FALSE
233,Northern Sierra Madre Natural Park and outlying areas inclusive of the buffer zone,Eastern Philippines,509.7559097,Middle 20-80%,TRUE
234,Turtle Islands Wildlife Sanctuary,Palawan/North Borneo,2411.662684,Common 20%,FALSE
235,Selvagens Islands,Azores Canaries Madeira,207.5446411,Middle 20-80%,TRUE
236,Khor Al Adaid natural reserve,Arabian (Persian) Gulf,448.7311831,Common 20%,TRUE
243,The Commander Islands (Comandorsky State Nature Reserve),Kamchatka Shelf and Coast,8581.392814,Middle 20-80%,TRUE
250,Farasan Islands Protected Area,Southern Red Sea,4565.57406,Middle 20-80%,TRUE
255,Silhouette Island,Seychelles,11.97929123,Middle 20-80%,FALSE
261,Marovo - Tetepare Complex,Solomon Archipelago,11.80609492,Middle 20-80%,FALSE
278,Kőzőlőrmak Delta Wetland and Bird Sanctuary,Black Sea,35.90500982,Middle 20-80%,FALSE
290,Marianas Trench Marine National Monument,Mariana Islands,599.9974532,Rarest 20%,TRUE
292,Pacific Remote Islands Marine National Monument,Line Islands,2039.541232,Rarest 20%,TRUE
292,Pacific Remote Islands Marine National Monument,Phoenix/Tokelau/Northern Cook Islands,230.3429615,Rarest 20%,FALSE
292,Pacific Remote Islands Marine National Monument,Hawaii,267.9683779,Middle 20-80%,FALSE
292,Pacific Remote Islands Marine National Monument,Marshall Islands,198.2580266,Middle 20-80%,TRUE
300,Ha Long Bay - Cat Ba Archipelago,Gulf of Tonkin,383.4311345,Common 20%,FALSE